z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986099,-8.93539
0.779251,-1.07592,-9.02336
0.768198,-1.16659,-9.10638
0.756243,-1.25806,-9.18247
0.74338,-1.35025,-9.2512
0.729599,-1.44309,-9.31281
0.714894,-1.53652,-9.36783
0.699258,-1.63046,-9.41686
0.682712,-1.71683,-7.56513
0.665449,-1.77009,-2.89025
0.647901,-1.77141,2.17403
0.630525,-1.73066,5.46816
0.613614,-1.66701,6.94386
0.597295,-1.59473,7.39083
0.581597,-1.51993,7.55576
0.566528,-1.44316,7.81306
0.552102,-1.36302,8.2131
0.538351,-1.27854,8.65707
0.525313,-1.18989,9.03797
0.513019,-1.09802,9.30049
0.501493,-1.00419,9.43982
0.49075,-0.909523,9.47699
0.480795,-0.814909,9.4366
0.471628,-0.721025,9.3362
0.463244,-0.628416,9.18538
0.455636,-0.537556,8.98908
0.448792,-0.448882,8.7509
0.442698,-0.362793,8.47497
0.437336,-0.279639,8.16615
0.432687,-0.199723,7.82964
0.428727,-0.123296,7.47046
0.425433,-0.0505585,7.09318
0.42278,0.0183288,6.70182
0.420738,0.0832445,6.29996
0.419281,0.144101,5.89082
0.418377,0.200841,5.47732
0.417997,0.253435,5.06215
0.41811,0.301879,4.64771
0.418684,0.346192,4.2362
0.419687,0.386415,3.8296
0.421086,0.422605,3.42967
0.422851,0.454838,3.03798
0.424949,0.483203,2.65596
0.427347,0.507805,2.28484
0.430016,0.528758,1.92573
0.432923,0.546187,1.57962
0.436038,0.560226,1.24734
0.439333,0.57102,0.929649
0.442777,0.578715,0.627166
0.446343,0.583468,0.340421
0.450004,0.585438,0.0698473
0.453734,0.584789,-0.184215
0.457507,0.581687,-0.421511
0.461302,0.576301,-0.641871
0.465094,0.568801,-0.845204
0.468863,0.559356,-1.0315
0.472589,0.548138,-1.20081
0.476254,0.535316,-1.35327
0.47984,0.521057,-1.48908
0.483332,0.505525,-1.60849
0.486716,0.488885,-1.71184
0.489978,0.471293,-1.79951
0.493108,0.452905,-1.87192
0.496095,0.433872,-1.92957
0.49893,0.414336,-1.97299
0.501607,0.394439,-2.00274
0.504119,0.374313,-2.01946
0.506462,0.354086,-2.02378
0.508631,0.333878,-2.01639
0.510626,0.313802,-1.99798
0.512443,0.293964,-1.96928
0.514085,0.274465,-1.93103
0.51555,0.255394,-1.88398
0.516842,0.236837,-1.8289
0.517962,0.21887,-1.76655
0.518915,0.201561,-1.69769
0.519704,0.184971,-1.62307
0.520336,0.169155,-1.54345
0.520814,0.154157,-1.45956
0.521146,0.140018,-1.37213
0.521338,0.126769,-1.28184
0.521397,0.114434,-1.18938
0.521331,0.103033,-1.09541
0.521146,0.0925764,-1.00053
0.520852,0.0830707,-0.905364
0.520456,0.0745157,-0.810457
0.519966,0.0669061,-0.716343
0.519391,0.0602313,-0.623517
0.518739,0.0544759,-0.532437
0.518017,0.0496203,-0.443528
0.517235,0.0456406,-0.357175
0.5164,0.0425096,-0.273725
0.515519,0.0401963,-0.193492
0.514601,0.0386673,-0.116749
0.513653,0.0378863,-0.0437341
0.512681,0.037815,0.02535
0.511694,0.0384132,0.090336
0.510696,0.0396391,0.15109
0.509695,0.0414498,0.207512
0.508695,0.0438017,0.259532
0.507704,0.0466505,0.307111
0.506725,0.0499518,0.350237
0.505763,0.0536609,0.388926
0.504823,0.0577338,0.423219
0.503908,0.0621269,0.453179
0.503022,0.0667972,0.478893
0.502169,0.0717027,0.500465
0.501351,0.0768028,0.518019
0.50057,0.082058,0.531694
0.499829,0.0874302,0.541643
0.499129,0.092883,0.548033
0.498472,0.0983819,0.55104
0.497858,0.103894,0.55085
0.497289,0.109388,0.547656
0.496764,0.114835,0.541657
0.496285,0.120209,0.533057
0.49585,0.125484,0.522062
0.49546,0.130637,0.508879
0.495114,0.135647,0.493715
0.494811,0.140497,0.476778
0.49455,0.145169,0.458271
0.49433,0.149648,0.438396
0.49415,0.153923,0.417349
0.494008,0.157981,0.395321
0.493902,0.161815,0.3725
0.493831,0.165418,0.349062
0.493793,0.168783,0.32518
0.493786,0.171908,0.301018
0.493807,0.174791,0.276731
0.493856,0.177431,0.252466
0.49393,0.179829,0.228361
0.494027,0.181987,0.204543
