z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552485,-1.29695,12.9513
0.539616,-1.16903,13.1511
0.527911,-1.02815,14.9779
0.517526,-0.870507,16.3097
0.508574,-0.705469,16.5039
0.501043,-0.547785,15.5012
0.494826,-0.403045,14.0614
0.489795,-0.272612,12.5571
0.48582,-0.156146,11.15
0.482788,-0.0522032,9.92507
0.480608,0.0411611,8.9064
0.479209,0.125833,8.07525
0.478556,0.206252,7.60543
0.478614,0.279768,7.02999
0.479344,0.348042,6.56443
0.48072,0.411908,6.1259
0.482712,0.471096,5.64461
0.485285,0.525051,5.11233
0.488396,0.573388,4.54832
0.491998,0.615946,3.97277
0.496039,0.652337,3.37261
0.500459,0.681421,2.68997
0.505196,0.70412,2.05482
0.51019,0.720646,1.42187
0.51538,0.731042,0.805174
0.520708,0.735649,0.238935
0.526117,0.735086,-0.258424
0.531557,0.730041,-0.687603
0.536985,0.721141,-1.05726
0.542363,0.708922,-1.37511
0.547662,0.693863,-1.64553
0.552853,0.676415,-1.87072
0.557915,0.65708,-2.03818
0.562828,0.636338,-2.16738
0.56758,0.614508,-2.26634
0.572156,0.591878,-2.33567
0.576549,0.568722,-2.37911
0.58075,0.54527,-2.40072
0.584754,0.521694,-2.40827
0.588558,0.498112,-2.40407
0.592162,0.474645,-2.38686
0.595566,0.451425,-2.35562
0.598772,0.428663,-2.29577
0.601783,0.40656,-2.22573
0.604602,0.385168,-2.1521
0.607236,0.364527,-2.07307
0.609688,0.344687,-1.98976
0.611964,0.325668,-1.90644
0.614069,0.307153,-1.84692
0.616004,0.288662,-1.82759
0.617769,0.270457,-1.80434
0.619383,0.255176,-1.59104
0.620852,0.239489,-1.55987
0.622173,0.223991,-1.49587
0.623352,0.209343,-1.41566
0.624393,0.195308,-1.37147
0.625297,0.181467,-1.36275
0.626064,0.167577,-1.36999
0.626692,0.153672,-1.3707
0.627179,0.139871,-1.3571
0.627527,0.126333,-1.3262
0.627756,0.116136,-1.06448
0.627874,0.105666,-1.00143
0.627885,0.0959681,-0.885746
0.627798,0.0875481,-0.770731
0.627622,0.0800299,-0.704124
0.627363,0.0729016,-0.679996
0.62702,0.0658991,-0.672648
0.626598,0.0593955,-0.633124
0.626097,0.0529947,-0.609314
0.625538,0.0498658,-0.351835
0.62493,0.0464329,-0.295918
0.624275,0.0436691,-0.19545
0.623583,0.041999,-0.102264
0.622861,0.0410009,-0.0604499
0.622113,0.0401503,-0.061507
0.621339,0.0391854,-0.0787656
0.620538,0.0380895,-0.0922303
0.61971,0.0369667,-0.09309
0.618874,0.0388696,0.134641
0.618037,0.0401582,0.161018
0.6172,0.0418508,0.238033
0.61637,0.0444341,0.312777
0.615556,0.0475129,0.337389
0.614759,0.0505542,0.317465
0.613977,0.05327,0.278421
0.613209,0.055614,0.240154
0.612451,0.0576644,0.211952
0.611721,0.0624562,0.410872
0.611023,0.0663995,0.411792
0.610355,0.0704205,0.457973
0.609723,0.0750318,0.503324
0.60913,0.0798525,0.499038
0.608576,0.0843479,0.45003
0.608057,0.0882291,0.382158
0.607567,0.0914565,0.316039
0.607102,0.0941214,0.261438
0.606674,0.0992762,0.435978
0.606288,0.103286,0.409473
0.605937,0.107179,0.434841
0.605625,0.111457,0.459815
0.605355,0.115747,0.436808
0.605124,0.119537,0.371547
0.604925,0.122562,0.289551
0.604753,0.125108,0.233414
0.60462,0.129812,0.383467
0.604524,0.133149,0.338617
0.60446,0.136222,0.34844
0.604427,0.139529,0.356542
0.604427,0.142679,0.316056
0.604455,0.145169,0.235122
0.604503,0.146761,0.140885
0.604567,0.148209,0.108155
0.604642,0.148728,0.0395205
0.604738,0.151624,0.213724
