z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31275
0.715274,-1.47255,-5.39092
0.700416,-1.54032,-7.09855
0.684906,-1.58979,-1.91752
0.669225,-1.56822,5.68492
0.65406,-1.48172,10.7882
0.639869,-1.36183,12.628
0.626801,-1.23567,12.4001
0.614818,-1.11624,11.5084
0.603821,-1.00531,10.7732
0.593728,-0.899815,10.399
0.584495,-0.796863,10.2425
0.576084,-0.698687,9.8639
0.568465,-0.603054,9.51126
0.561609,-0.512224,8.94625
0.555474,-0.427078,8.31356
0.550015,-0.347816,7.69848
0.545192,-0.273957,7.16227
0.540975,-0.204618,6.72865
0.537343,-0.138502,6.41585
0.534282,-0.0754141,6.13983
0.531783,-0.0148699,5.90064
0.529836,0.0435146,5.68173
0.528437,0.100254,5.49516
0.52757,0.153774,5.20218
0.527215,0.20432,4.90409
0.527351,0.251666,4.57047
0.527949,0.295428,4.19921
0.52898,0.335247,3.7994
0.530409,0.371068,3.39605
0.532202,0.402899,2.99755
0.534326,0.430832,2.6114
0.536748,0.455015,2.24195
0.539429,0.474802,1.83596
0.54233,0.490313,1.42434
0.545412,0.50189,1.0229
0.548638,0.509572,0.626098
0.55197,0.513479,0.250729
0.555371,0.513918,-0.0864195
0.558807,0.511317,-0.378163
0.56225,0.506126,-0.62457
0.565674,0.498758,-0.831703
0.569058,0.489566,-1.00508
0.572384,0.478879,-1.14384
0.575637,0.466993,-1.25659
0.578803,0.454135,-1.34764
0.581872,0.440508,-1.41793
0.584835,0.426307,-1.46927
0.587686,0.4117,-1.50449
0.590419,0.396833,-1.52581
0.593032,0.38183,-1.53478
0.595522,0.366809,-1.5321
0.597888,0.351904,-1.51349
0.600131,0.337235,-1.48676
0.602253,0.322865,-1.45382
0.604253,0.308858,-1.4138
0.606136,0.295274,-1.36897
0.607904,0.282146,-1.32173
0.60956,0.269489,-1.2733
0.611105,0.256843,-1.25656
0.612539,0.24443,-1.23343
0.61387,0.233275,-1.13976
0.615099,0.221782,-1.13955
0.616223,0.210434,-1.11373
0.617248,0.199911,-1.04857
0.618174,0.189514,-1.0277
0.619001,0.179104,-1.01979
0.619728,0.168911,-1.00248
0.620356,0.158895,-0.988719
0.620884,0.149028,-0.974063
0.621315,0.139622,-0.932513
0.621655,0.131348,-0.832614
0.621909,0.123028,-0.799456
0.622076,0.11523,-0.738481
0.622163,0.108111,-0.679237
0.622175,0.101493,-0.637303
0.622115,0.0952163,-0.606383
0.621984,0.0892389,-0.576336
0.621789,0.0840299,-0.509824
0.621533,0.0792247,-0.459126
0.621227,0.0757586,-0.339358
0.620874,0.0723246,-0.301952
0.620477,0.0694666,-0.243137
0.620043,0.0672181,-0.195044
0.619576,0.0653376,-0.167805
0.619078,0.0636583,-0.15109
0.618551,0.0622449,-0.127068
0.617999,0.0610172,-0.10487
0.617428,0.0609857,-0.00771225
0.616844,0.0608601,0.014141
0.616248,0.0611025,0.0580792
0.615644,0.0618292,0.0985157
0.615041,0.0632788,0.151609
0.614441,0.0647974,0.164996
0.613844,0.0664153,0.17884
0.613254,0.0681956,0.193129
0.612672,0.0701095,0.202998
0.612104,0.0730232,0.276404
0.611554,0.0756452,0.27514
0.61102,0.0783137,0.289449
0.610505,0.0812043,0.304422
0.61001,0.0840281,0.292976
0.609535,0.086801,0.27933
0.60908,0.0894267,0.261144
0.608645,0.0920995,0.260934
0.60823,0.0946122,0.252569
0.607841,0.0980041,0.320485
0.607478,0.101,0.31192
0.607143,0.104391,0.348034
0.606839,0.107835,0.353827
0.606564,0.111117,0.336243
0.606318,0.114247,0.312321
0.606098,0.117096,0.278327
0.605903,0.119594,0.241739
0.605734,0.122683,0.277408
0.605589,0.125035,0.237356
0.605465,0.127205,0.227168
0.605362,0.12938,0.219997
0.605279,0.131427,0.200063
0.605217,0.133272,0.175944
0.605171,0.13481,0.147083
0.60514,0.136087,0.122811
0.605129,0.138256,0.183892
0.605136,0.139775,0.155361
0.605161,0.141472,0.17527
0.605204,0.143138,0.172559
