z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20218
0.538348,-1.27902,8.6443
0.525311,-1.19051,9.02336
0.513021,-1.0988,9.28411
0.501502,-1.00514,9.42183
0.490767,-0.910657,9.45761
0.480824,-0.816243,9.41611
0.471671,-0.722568,9.31493
0.463305,-0.630174,9.16367
0.455719,-0.539533,8.96723
0.448901,-0.451077,8.72922
0.442837,-0.365202,8.45371
0.437509,-0.282258,8.14552
0.432899,-0.202544,7.80978
0.428982,-0.126311,7.45145
0.425735,-0.0537593,7.07503
0.423133,0.0149509,6.6845
0.421146,0.0796975,6.28339
0.419747,0.140392,5.87486
0.418905,0.196974,5.46185
0.41859,0.249415,5.04697
0.418769,0.297708,4.63264
0.419411,0.341871,4.22101
0.420483,0.38194,3.81408
0.421952,0.417972,3.4136
0.423785,0.45004,3.02119
0.42595,0.478234,2.63828
0.428415,0.502653,2.26616
0.431147,0.523414,1.90598
0.434115,0.540639,1.55874
0.437288,0.554465,1.22535
0.440637,0.565032,0.906579
0.444131,0.572492,0.603092
0.447743,0.576999,0.31545
0.451445,0.578715,0.0441137
0.455212,0.577805,-0.210551
0.459018,0.574438,-0.448272
0.462839,0.568783,-0.668862
0.466653,0.561012,-0.872222
0.470439,0.551298,-1.05833
0.474176,0.539814,-1.22724
0.477848,0.52673,-1.3791
0.481436,0.512217,-1.51409
0.484924,0.49644,-1.6325
0.4883,0.479566,-1.73466
0.49155,0.461753,-1.82096
0.494663,0.443159,-1.89185
0.49763,0.423934,-1.94784
0.500441,0.404225,-1.98948
0.50309,0.384173,-2.01736
0.505571,0.363911,-2.03211
0.50788,0.343568,-2.0344
0.510013,0.323264,-2.02494
0.511969,0.303114,-2.00444
0.513746,0.283223,-1.97364
0.515344,0.263691,-1.9333
0.516766,0.244608,-1.8842
0.518013,0.22606,-1.82711
0.519088,0.208121,-1.7628
0.519994,0.190859,-1.69206
0.520738,0.174335,-1.61565
0.521323,0.158602,-1.53433
0.521755,0.143704,-1.44885
0.522042,0.12968,-1.35993
0.522189,0.11656,-1.26828
0.522205,0.104367,-1.17458
0.522096,0.09312,-1.07949
0.521871,0.0828279,-0.983645
0.521538,0.0734956,-0.887629
0.521105,0.0651219,-0.79201
0.520579,0.0576999,-0.697318
0.519971,0.0512178,-0.604046
0.519287,0.0456589,-0.512652
0.518536,0.0410022,-0.423554
0.517727,0.0372227,-0.337136
0.516867,0.0342918,-0.253741
0.515964,0.0321776,-0.173676
0.515026,0.0308454,-0.0972095
0.514061,0.0302579,-0.024574
0.513074,0.0303758,0.0440348
0.512074,0.0311579,0.108456
0.511066,0.0325617,0.168563
0.510056,0.0345434,0.224263
0.509051,0.0370587,0.275492
0.508056,0.0400627,0.322219
0.507075,0.0435103,0.364441
0.506114,0.0473566,0.40218
0.505176,0.0515569,0.435484
0.504266,0.0560672,0.464425
0.503386,0.0608445,0.489095
0.502541,0.0658465,0.509607
0.501732,0.0710324,0.52609
0.500962,0.0763627,0.538691
0.500232,0.0817992,0.54757
0.499545,0.0873058,0.552897
0.498902,0.0928477,0.554856
0.498303,0.0983925,0.553638
0.49775,0.103909,0.549442
0.497242,0.109369,0.54247
0.496779,0.114746,0.532931
0.496362,0.120015,0.521034
0.49599,0.125153,0.506991
0.495662,0.130141,0.491013
0.495377,0.134959,0.473308
0.495134,0.139592,0.454084
0.494932,0.144026,0.433543
0.494769,0.148249,0.411884
0.494645,0.15225,0.389299
0.494556,0.156021,0.365975
0.494502,0.159556,0.342092
0.49448,0.162849,0.317821
0.494488,0.165899,0.293326
0.494525,0.168704,0.268762
0.494588,0.171262,0.244275
0.494676,0.173578,0.220001
