z,vz,az
0.84,0,0
0.838852,-0.204393,-16.4186
0.836069,-0.342224,-11.9541
0.832109,-0.449966,-9.96504
0.827172,-0.544578,-9.1247
0.821344,-0.633903,-8.81324
0.814653,-0.72153,-8.74118
0.807105,-0.809058,-8.77357
0.798694,-0.897164,-8.84786
0.789413,-0.986098,-8.93539
0.779251,-1.07592,-9.02335
0.768198,-1.16659,-9.10636
0.756243,-1.25806,-9.18244
0.743379,-1.35025,-9.25115
0.729598,-1.44309,-9.31274
0.714893,-1.53651,-9.36775
0.699257,-1.63045,-9.41676
0.68271,-1.71682,-7.5651
0.665447,-1.77009,-2.89073
0.647899,-1.77142,2.17259
0.630522,-1.73069,5.46544
0.61361,-1.66707,6.93968
0.59729,-1.59484,7.38509
0.581592,-1.52011,7.54837
0.566523,-1.44342,7.80394
0.552097,-1.36338,8.20218
0.538348,-1.27902,8.6443
0.525311,-1.19051,9.02336
0.513021,-1.0988,9.28411
0.501502,-1.00514,9.42183
0.490767,-0.910656,9.45772
0.480823,-0.81624,9.41646
0.47167,-0.72256,9.31562
0.463304,-0.630157,9.16475
0.455716,-0.539502,8.96875
0.448896,-0.451029,8.73118
0.442828,-0.365132,8.45609
0.437496,-0.282162,8.14829
0.43288,-0.202419,7.8129
0.428956,-0.126153,7.4549
0.425701,-0.0535654,7.07877
0.423088,0.0151837,6.6885
0.42109,0.0799715,6.28761
0.419677,0.140709,5.87929
0.419171,0.257765,9.77769
0.419641,0.349728,9.13108
0.421004,0.443125,9.85768
0.423338,0.545443,10.4212
0.426693,0.647466,9.95286
0.431026,0.741042,8.81027
0.436237,0.822078,7.45115
0.442201,0.889659,6.14808
0.448798,0.945065,5.02134
0.455929,0.990345,4.07601
0.463512,1.02713,3.25827
0.471472,1.0554,2.44664
0.479741,1.07648,1.72652
0.488242,1.08828,0.86993
0.496901,1.09248,0.108344
0.505655,1.08992,-0.587363
0.514436,1.07957,-1.32176
0.523174,1.06177,-2.01741
0.531815,1.03882,-2.54415
0.540311,1.01049,-3.05005
0.548608,0.976198,-3.564
0.556667,0.9389,-3.88109
0.564446,0.896583,-4.30614
0.571895,0.849743,-4.70206
0.578986,0.801868,-4.87869
0.585687,0.750895,-5.14392
0.591964,0.697654,-5.32142
0.597793,0.644328,-5.34241
0.603159,0.590515,-5.35785
0.608047,0.537329,-5.27638
0.61245,0.48513,-5.1646
0.616365,0.434493,-5.00119
0.619791,0.3853,-4.84116
0.622808,0.350987,-3.74559
0.625443,0.313532,-3.64131
0.627697,0.279447,-3.18475
0.629613,0.251126,-2.70867
0.631237,0.226312,-2.44689
0.632589,0.202214,-2.37798
0.633675,0.178189,-2.36044
0.6345,0.15418,-2.35426
0.635072,0.130476,-2.32856
0.6354,0.107564,-2.25658
0.635498,0.0855561,-2.1548
0.635384,0.0653593,-1.97105
0.635075,0.046471,-1.80566
0.634592,0.0300291,-1.56488
0.633962,0.0161889,-1.31044
0.633211,0.00531842,-1.02427
0.632361,-0.00392141,-0.826651
0.631431,-0.0103327,-0.565552
0.630447,-0.0141273,-0.323193
0.629422,-0.0165683,-0.170063
0.628372,-0.016699,0.0336007
0.627313,-0.0150474,0.200699
0.626253,-0.0125144,0.302589
0.625201,-0.00844621,0.435541
0.624164,-0.00340274,0.526294
0.623147,0.00213603,0.578164
0.622153,0.00823709,0.624774
0.621183,0.0145899,0.644149
0.620239,0.0214342,0.677357
0.619322,0.0281821,0.673823
0.618428,0.0344198,0.636535
0.61755,0.0397414,0.555147
0.616689,0.0452248,0.533197
0.615839,0.0496681,0.437451
0.614994,0.0529421,0.333131
0.614151,0.056138,0.303455
0.613308,0.058358,0.225062
0.612461,0.0595983,0.145189
0.611611,0.061073,0.144889
0.610759,0.0617531,0.0846605
0.609905,0.061955,0.044344
0.609051,0.0621862,0.0378564
0.608204,0.0626502,0.0538914
0.607368,0.0631317,0.0668783
0.606548,0.0639032,0.102604
0.605756,0.0658951,0.206541
0.605,0.0682155,0.26022
0.604288,0.0713198,0.340157
0.60363,0.0756239,0.444653
0.603034,0.0803227,0.494313
0.602506,0.086178,0.589943
0.60205,0.0922279,0.620359
0.601669,0.0985903,0.648543
0.601361,0.105148,0.659223
0.601149,0.115605,0.938148
0.601035,0.124712,0.912464
0.60101,0.134156,0.97403
0.601075,0.143605,0.969836
0.601224,0.152918,0.919086
0.601447,0.160764,0.760804
0.601726,0.167129,0.592537
0.602048,0.172355,0.456098
0.602398,0.175701,0.28803
