name,q_z,q_vz,r_suspension,rms,p2p,rms_improvement,p2p_improvement
Low q_z,100.0,50.0,0.01,4.471168758401668,87.6502,17.478446541568744,18.496167050395574
Med q_z,500.0,50.0,0.01,6.665325978033675,129.7485,-23.017735123645757,-20.6500392407747
High q_z,2000.0,50.0,0.01,4.814875677771149,92.2096,11.134863811106003,14.256489605844095
Low q_vz,500.0,10.0,0.01,6.254919867697892,120.28540000000001,-15.443127318896327,-11.850527983693697
High q_vz,500.0,200.0,0.01,5.754347534667144,112.9149,-6.204378174751944,-4.996875616042967
Soft r,500.0,50.0,0.001,4.55671146363993,83.95349999999999,15.89963855986744,21.93364031645547
Hard r,500.0,50.0,0.1,4.952044930492268,95.8521,8.603217068851237,10.869415628614904
Balanced,1000.0,100.0,0.005,6.165367753375885,120.0746,-13.790320192023128,-11.654510085437023
Aggressive,2000.0,200.0,0.001,6.632176745764261,130.7106,-22.40592056449138,-21.544673111328493
Conservative,100.0,10.0,0.1,5.889079073180394,117.84649999999999,-8.691033556986344,-9.582652973929981
